Treatment ID,Replication ID,Plot ID,Yield,Units
e445_T1,1,22,33,u2
e445_T1,2,23,34,u2
e445_T1,3,24,35,u2
e445_T2,1,25,36,u2
e445_T2,2,26,37,u2
e445_T2,3,27,38,u2
e445_T3,1,28,39,u2
e445_T3,2,29,40,u2
e445_T3,3,30,41,u2
e445_T4,1,31,42,u2
e445_T4,2,32,43,u2
e445_T4,3,33,44,u2
e445_T5,1,34,45,u2
e445_T5,2,35,46,u2
e445_T5,3,36,47,u2
e445_T6,1,37,48,u2
e445_T6,2,38,49,u2
e445_T6,3,39,50,u2
e445_T7,1,40,51,u2
e445_T7,2,41,52,u2
e445_T7,3,42,53,u2
e445_T8,1,43,54,u2
e445_T8,2,44,55,u2
e445_T8,3,45,56,u2
