Treatment ID,Replication ID,Plot ID,Yield,Units
e578_T1,1,8888,99,u1
e578_T1,2,8889,100,u1
e578_T1,3,8890,101,u1
e578_T2,1,8891,102,u1
e578_T2,2,8892,103,u1
e578_T2,3,8893,104,u1
e578_T3,1,8894,105,u1
e578_T3,2,8895,106,u1
e578_T3,3,8896,107,u1
e578_T4,1,8897,108,u1
e578_T4,2,8898,109,u1
e578_T4,3,8899,110,u1
e578_T5,1,8900,111,u1
e578_T5,2,8901,112,u1
e578_T5,3,8902,113,u1
e578_T6,1,8903,114,u1
e578_T6,2,8904,115,u1
e578_T6,3,8905,116,u1
e578_T7,1,8906,117,u1
e578_T7,2,8907,118,u1
e578_T7,3,8908,119,u1
e578_T8,1,8909,120,u1
e578_T8,2,8910,121,u1
e578_T8,3,8911,122,u1
