Treatment ID,Replication ID,Plot ID,Yield,Units
e579_T1,1,121,23,u1
e579_T1,2,122,24,u1
e579_T1,3,123,25,u1
e579_T2,1,124,26,u1
e579_T2,2,125,27,u1
e579_T2,3,126,28,u1
e579_T3,1,127,29,u1
e579_T3,2,128,30,u1
e579_T3,3,129,31,u1
e579_T4,1,130,32,u1
e579_T4,2,131,33,u1
e579_T4,3,132,34,u1
e579_T5,1,133,35,u1
e579_T5,2,134,36,u1
e579_T5,3,135,37,u1
e579_T6,1,136,38,u1
e579_T6,2,137,39,u1
e579_T6,3,138,40,u1
e579_T7,1,139,41,u1
e579_T7,2,140,42,u1
e579_T7,3,141,43,u1
e579_T8,1,142,44,u1
e579_T8,2,143,45,u1
e579_T8,3,144,46,u1
